

        TIME                    RATE            ERROR
        s                       count/s         count/s
    148   1.368000000000000E+04   2.0267712E-02   2.0267712E-02
    149   1.374000000000000E+04   1.9208552E-02   1.9208552E-02
    150   1.380000000000000E+04   2.0089693E-02   2.0089693E-02
    151   1.386000000000000E+04   4.0057484E-02   2.8324919E-02
    152   1.392000000000000E+04   0.0000000E+00   0.0000000E+00
    153   1.398000000000000E+04   2.1386351E-02   2.1386351E-02
    154   1.404000000000000E+04   2.1600630E-02   2.1600630E-02
    155   1.410000000000000E+04   6.8307653E-02   3.9437439E-02
    156   1.416000000000000E+04   7.1500406E-02   4.1280776E-02
    157   1.422000000000000E+04   5.1801972E-02   3.6629524E-02
    158   1.428000000000000E+04   0.0000000E+00   0.0000000E+00
    159   1.434000000000000E+04   0.0000000E+00   0.0000000E+00
    160   1.440000000000000E+04   7.7742197E-02   4.4884477E-02
    161   1.446000000000000E+04   5.1807504E-02   3.6633439E-02
    162   1.452000000000000E+04   2.6971409E-02   2.6971409E-02
    163   1.458000000000000E+04   0.0000000E+00   0.0000000E+00
    164   1.464000000000000E+04   0.0000000E+00   0.0000000E+00
    165   1.470000000000000E+04   0.0000000E+00   0.0000000E+00
    166   1.476000000000000E+04   0.0000000E+00   0.0000000E+00
    167   1.482000000000000E+04   0.0000000E+00   0.0000000E+00
    168   1.488000000000000E+04   0.0000000E+00   0.0000000E+00
    169   1.734000000000000E+04   0.0000000E+00   0.0000000E+00
    170   1.740000000000000E+04   4.2045061E-02   4.2045061E-02
    171   1.746000000000000E+04   0.0000000E+00   0.0000000E+00
    172   1.752000000000000E+04   1.8101256E-02   1.8101256E-02
    173   1.758000000000000E+04   1.7905319E-02   1.7905319E-02
    174   1.764000000000000E+04   1.8069884E-02   1.8069884E-02
    175   1.770000000000000E+04   1.8075934E-02   1.8075934E-02
    176   1.776000000000000E+04   1.7975254E-02   1.7975254E-02
    177   1.782000000000000E+04   0.0000000E+00   0.0000000E+00
    178   1.788000000000000E+04   1.7943200E-02   1.7943200E-02
    179   1.794000000000000E+04   0.0000000E+00   0.0000000E+00
    180   1.800000000000000E+04   1.7989799E-02   1.7989799E-02
    181   1.806000000000000E+04   0.0000000E+00   0.0000000E+00
    182   1.812000000000000E+04   0.0000000E+00   0.0000000E+00
    183   1.818000000000000E+04   1.7881166E-02   1.7881166E-02
    184   1.824000000000000E+04   1.8025391E-02   1.8025391E-02
    185   1.830000000000000E+04   0.0000000E+00   0.0000000E+00
    186   1.836000000000000E+04   5.3468224E-02   3.0869892E-02
    187   1.842000000000000E+04   0.0000000E+00   0.0000000E+00
    188   1.848000000000000E+04   3.5781596E-02   2.5301410E-02
    189   1.854000000000000E+04   1.8078132E-02   1.8078132E-02
    190   1.860000000000000E+04   0.0000000E+00   0.0000000E+00
    191   1.866000000000000E+04   1.7999027E-02   1.7999027E-02
    192   1.872000000000000E+04   1.7961837E-02   1.7961837E-02
    193   1.878000000000000E+04   1.8012106E-02   1.8012106E-02
