

        TIME                    RATE            ERROR
        s                       count/s         count/s
    167   1.482000000000000E+04   3.1201261E-01   1.0400420E-01
    168   1.488000000000000E+04   2.9305962E-01   1.3106023E-01
    169   1.734000000000000E+04   0.0000000E+00   0.0000000E+00
    170   1.740000000000000E+04   5.6205302E-01   2.1243607E-01
    171   1.746000000000000E+04   2.7681082E-01   9.7867407E-02
    172   1.752000000000000E+04   6.2207466E-01   1.4662440E-01
    173   1.758000000000000E+04   4.1506451E-01   1.1981880E-01
    174   1.764000000000000E+04   2.0715764E-01   8.4571756E-02
    175   1.770000000000000E+04   3.8059726E-01   1.1475440E-01
    176   1.776000000000000E+04   4.4980684E-01   1.2475397E-01
    177   1.782000000000000E+04   2.7647126E-01   9.7747341E-02
    178   1.788000000000000E+04   2.7596489E-01   9.7568318E-02
    179   1.794000000000000E+04   2.4154276E-01   9.1294579E-02
    180   1.800000000000000E+04   2.0685947E-01   8.4450029E-02
    181   1.806000000000000E+04   3.7972853E-01   1.1449246E-01
    182   1.812000000000000E+04   2.7590498E-01   9.7547144E-02
    183   1.818000000000000E+04   2.7634820E-01   9.7703837E-02
    184   1.824000000000000E+04   2.4087724E-01   9.1043040E-02
    185   1.830000000000000E+04   3.7943476E-01   1.1440389E-01
    186   1.836000000000000E+04   3.7884286E-01   1.1422542E-01
    187   1.842000000000000E+04   3.4428793E-01   1.0887340E-01
    188   1.848000000000000E+04   3.7996975E-01   1.1456519E-01
    189   1.854000000000000E+04   2.4189034E-01   9.1425955E-02
    190   1.860000000000000E+04   3.1044790E-01   1.0348263E-01
    191   1.866000000000000E+04   4.1490877E-01   1.1977384E-01
    192   1.872000000000000E+04   2.7571455E-01   9.7479813E-02
    193   1.878000000000000E+04   4.8424351E-01   1.2941952E-01
    194   1.884000000000000E+04   4.1388872E-01   1.1947937E-01
    195   1.890000000000000E+04   3.7903970E-01   1.1428478E-01
    196   1.896000000000000E+04   3.4604779E-01   1.0942991E-01
    197   1.902000000000000E+04   5.5323583E-01   1.3830896E-01
    198   1.908000000000000E+04   4.4948703E-01   1.2466527E-01
    199   1.914000000000000E+04   3.1132287E-01   1.0377428E-01
    200   1.920000000000000E+04   4.1510785E-01   1.1983132E-01
    201   1.926000000000000E+04   4.8361614E-01   1.2925185E-01
    202   1.932000000000000E+04   2.7662617E-01   9.7802117E-02
    203   1.938000000000000E+04   3.7985814E-01   1.1453155E-01
    204   1.944000000000000E+04   5.8809954E-01   1.4263509E-01
    205   1.950000000000000E+04   4.1530368E-01   1.1988784E-01
    206   1.956000000000000E+04   3.4572440E-01   1.0932765E-01
    207   1.962000000000000E+04   4.1516596E-01   1.1984809E-01
    208   1.968000000000000E+04   3.1053162E-01   1.0351054E-01
    209   1.974000000000000E+04   4.8490149E-01   1.2959537E-01
    210   1.980000000000000E+04   3.1169030E-01   1.0389677E-01
